num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-6.394334456414448
2.0,100.0,0.0,50.0,-8.409353539587265
3.0,150.0,0.0,50.0,-10.715298607107226
4.0,200.0,0.0,50.0,-7.831499030042057
5.0,250.0,0.0,50.0,-9.427780841037706
6.0,300.0,43.0,50.0,-8.954190321845621
7.0,350.0,93.0,50.0,-12.977944027489963
8.0,400.0,143.0,50.0,-15.170749788470893
9.0,450.0,193.0,50.0,-10.721156766729314
10.0,500.0,243.0,50.0,-10.262882414088603
11.0,550.0,293.0,50.0,-5.991305180441371
12.0,600.0,343.0,50.0,-12.665161027930445
13.0,650.0,393.0,50.0,-8.716547175357398
14.0,700.0,443.0,50.0,-9.265175312498537
15.0,750.0,493.0,50.0,-9.801798999514004
16.0,800.0,543.0,50.0,-5.92343001399215
17.0,850.0,593.0,50.0,-12.592763184267946
18.0,900.0,643.0,50.0,-9.569389616240908
19.0,950.0,693.0,50.0,-12.76425809364002
20.0,1000.0,743.0,50.0,-10.186966479482816
21.0,1050.0,793.0,50.0,-12.54333367198263
22.0,1100.0,843.0,50.0,-8.969446539063563
23.0,1150.0,893.0,50.0,-9.629718845934562
24.0,1200.0,943.0,50.0,-12.529127347375326
25.0,1250.0,993.0,50.0,-5.8518109789154655
26.0,1300.0,1043.0,50.0,-6.221641012871125
27.0,1350.0,1093.0,50.0,-7.3416377961019466
28.0,1400.0,1143.0,50.0,-12.657437415637732
29.0,1450.0,1193.0,50.0,-9.33658133302588
30.0,1500.0,1243.0,50.0,-6.219304776819862
31.0,1550.0,1293.0,50.0,-6.38392791642614
32.0,1600.0,1343.0,50.0,-9.962263845185529
33.0,1650.0,1393.0,50.0,-15.550567907608078
34.0,1700.0,1443.0,50.0,-6.703050758101776
35.0,1750.0,1493.0,50.0,-3.0731563416041885
36.0,1800.0,1543.0,50.0,-10.327295545868708
37.0,1850.0,1593.0,50.0,-6.778175977741684
38.0,1900.0,1643.0,50.0,-9.193854486800143
39.0,1950.0,1693.0,50.0,-11.988205997539588
40.0,2000.0,1743.0,50.0,-6.84690013296783
41.0,2050.0,1793.0,50.0,-3.4901151703366207
42.0,2100.0,1843.0,50.0,-4.364912006449918
