num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-8.764865232649957
2.0,100.0,0.0,50.0,-8.943842887325953
3.0,150.0,0.0,50.0,-9.70249161735884
4.0,200.0,0.0,50.0,-5.353046287080076
5.0,250.0,0.0,50.0,-9.465645781477631
6.0,300.0,43.0,50.0,-10.790531375422557
7.0,350.0,93.0,50.0,-8.088579292793654
8.0,400.0,143.0,50.0,-12.358966489416272
9.0,450.0,193.0,50.0,-9.496698550393736
10.0,500.0,243.0,50.0,-10.845168690316074
11.0,550.0,293.0,50.0,-8.906926238283871
12.0,600.0,343.0,50.0,-8.71854815388523
13.0,650.0,393.0,50.0,-8.527713349815196
14.0,700.0,443.0,50.0,-7.375301759046128
15.0,750.0,493.0,50.0,-6.741866435560156
16.0,800.0,543.0,50.0,-9.763318183348035
17.0,850.0,593.0,50.0,-5.262332839406617
18.0,900.0,643.0,50.0,-8.533504959640677
19.0,950.0,693.0,50.0,-12.659746845181708
20.0,1000.0,743.0,50.0,-10.631594827659935
21.0,1050.0,793.0,50.0,-13.642696427093167
22.0,1100.0,843.0,50.0,-12.772619817361461
23.0,1150.0,893.0,50.0,-8.396333556186637
24.0,1200.0,943.0,50.0,-11.832694609374009
25.0,1250.0,993.0,50.0,-10.399478518578633
26.0,1300.0,1043.0,50.0,-9.28648703152963
27.0,1350.0,1093.0,50.0,-7.361917572324285
28.0,1400.0,1143.0,50.0,-11.355238278978977
29.0,1450.0,1193.0,50.0,-7.060482119648273
30.0,1500.0,1243.0,50.0,-7.01909291483372
31.0,1550.0,1293.0,50.0,-9.14941087088248
32.0,1600.0,1343.0,50.0,-8.640674579218606
33.0,1650.0,1393.0,50.0,-15.684567346964158
34.0,1700.0,1443.0,50.0,-7.198174647463114
35.0,1750.0,1493.0,50.0,-9.771416014722321
36.0,1800.0,1543.0,50.0,-10.72652944114909
37.0,1850.0,1593.0,50.0,-5.771943289050644
38.0,1900.0,1643.0,50.0,-5.7349458706703205
39.0,1950.0,1693.0,50.0,-8.545374059196039
40.0,2000.0,1743.0,50.0,-5.369381204978082
41.0,2050.0,1793.0,50.0,-11.391279024022362
42.0,2100.0,1843.0,50.0,-5.495216804441677
43.0,2150.0,1893.0,50.0,-12.197112809090966
44.0,2200.0,1943.0,50.0,-6.37930206491713
45.0,2250.0,1993.0,50.0,-9.518908814485561
46.0,2300.0,2043.0,50.0,-10.526606115505384
47.0,2350.0,2093.0,50.0,-7.541535453855158
48.0,2400.0,2143.0,50.0,-14.056137897494477
49.0,2450.0,2193.0,50.0,-12.337093516146282
50.0,2500.0,2243.0,50.0,-6.579336759697361
51.0,2550.0,2293.0,50.0,-11.755265803290103
52.0,2600.0,2343.0,50.0,-14.922671479940576
53.0,2650.0,2393.0,50.0,-5.906003354172043
54.0,2700.0,2443.0,50.0,-9.298538496984312
55.0,2750.0,2493.0,50.0,-7.747531717129975
56.0,2800.0,2543.0,50.0,-9.887479957974865
57.0,2850.0,2593.0,50.0,-10.363286628346962
58.0,2900.0,2643.0,50.0,-11.95032095490612
59.0,2950.0,2693.0,50.0,-6.375068267358749
60.0,3000.0,2743.0,50.0,-14.533585332874088
61.0,3050.0,2793.0,50.0,-7.990942488683701
62.0,3100.0,2843.0,50.0,-11.691302512689537
63.0,3150.0,2893.0,50.0,-11.885780857929833
64.0,3200.0,2943.0,50.0,-10.038588877134211
65.0,3250.0,2993.0,50.0,-6.985965029717909
66.0,3300.0,3043.0,50.0,-8.86455259719467
67.0,3350.0,3093.0,50.0,-6.676102625226052
68.0,3400.0,3143.0,50.0,-8.850841282840431
69.0,3450.0,3193.0,50.0,-13.691954541187492
70.0,3500.0,3243.0,50.0,-5.303440779894052
71.0,3550.0,3293.0,50.0,-13.3126389287633
72.0,3600.0,3343.0,50.0,-10.561336375490455
73.0,3650.0,3393.0,50.0,-9.568515363744108
74.0,3700.0,3443.0,50.0,-14.636022555167152
75.0,3750.0,3493.0,50.0,-8.846212110843226
76.0,3800.0,3543.0,50.0,-7.206015590883115
77.0,3850.0,3593.0,50.0,-8.589805400106611
78.0,3900.0,3643.0,50.0,-9.340462928285984
79.0,3950.0,3693.0,50.0,-8.475850856966588
80.0,4000.0,3743.0,50.0,-6.295042954991691
81.0,4050.0,3793.0,50.0,-12.925106821819305
82.0,4100.0,3843.0,50.0,-9.706451941727543
83.0,4150.0,3893.0,50.0,-15.75659227727215
84.0,4200.0,3943.0,50.0,-8.696167130277235
85.0,4250.0,3993.0,50.0,-6.520592994436908
86.0,4300.0,4043.0,50.0,-14.057358884128476
87.0,4350.0,4093.0,50.0,-6.207899058184232
88.0,4400.0,4143.0,50.0,-7.758292911844716
89.0,4450.0,4193.0,50.0,-11.7977346673687
90.0,4500.0,4243.0,50.0,-6.754442048566327
91.0,4550.0,4293.0,50.0,-11.412054794462886
92.0,4600.0,4343.0,50.0,-10.94207648617182
