num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-14.91938800657894
2.0,100.0,0.0,50.0,-16.13089168393507
3.0,150.0,0.0,50.0,-15.675064323591432
4.0,200.0,0.0,50.0,-18.854939789780524
5.0,250.0,0.0,50.0,-15.494890882363363
6.0,300.0,43.0,50.0,-19.053381749690825
7.0,350.0,93.0,50.0,-18.87362068440952
8.0,400.0,143.0,50.0,-25.21944888891394
9.0,450.0,193.0,50.0,-21.468979708760703
10.0,500.0,243.0,50.0,-22.451634201772467
11.0,550.0,293.0,50.0,-14.796926599792378
12.0,600.0,343.0,50.0,-21.187925148993806
13.0,650.0,393.0,50.0,-14.506796454940657
14.0,700.0,443.0,50.0,-9.811238659906254
15.0,750.0,493.0,50.0,-22.460223609935
16.0,800.0,543.0,50.0,-13.902278890203256
17.0,850.0,593.0,50.0,-22.286081290771836
18.0,900.0,643.0,50.0,-23.41234079940897
19.0,950.0,693.0,50.0,-23.91921098737116
20.0,1000.0,743.0,50.0,-11.09362809674778
21.0,1050.0,793.0,50.0,-15.934675596169829
22.0,1100.0,843.0,50.0,-21.19709689135489
23.0,1150.0,893.0,50.0,-20.890314938959825
24.0,1200.0,943.0,50.0,-21.207592311710943
25.0,1250.0,993.0,50.0,-13.90223776332268
26.0,1300.0,1043.0,50.0,-12.810337441068823
27.0,1350.0,1093.0,50.0,-19.04809009431341
28.0,1400.0,1143.0,50.0,-10.629433800361959
29.0,1450.0,1193.0,50.0,-13.88017379799247
30.0,1500.0,1243.0,50.0,-16.824098930719803
31.0,1550.0,1293.0,50.0,-16.066184176979775
32.0,1600.0,1343.0,50.0,-23.32650315755747
33.0,1650.0,1393.0,50.0,-20.685782041845382
34.0,1700.0,1443.0,50.0,-10.04257682234598
35.0,1750.0,1493.0,50.0,-16.059728755242595
36.0,1800.0,1543.0,50.0,-24.330942279386374
37.0,1850.0,1593.0,50.0,-12.776808932900343
38.0,1900.0,1643.0,50.0,-16.673812640110167
39.0,1950.0,1693.0,50.0,-16.857584019589293
40.0,2000.0,1743.0,50.0,-16.53471487552932
41.0,2050.0,1793.0,50.0,-14.9823794789919
42.0,2100.0,1843.0,50.0,-14.762032517059607
43.0,2150.0,1893.0,50.0,-21.767040454085183
44.0,2200.0,1943.0,50.0,-12.629921170606975
45.0,2250.0,1993.0,50.0,-23.0347485268465
46.0,2300.0,2043.0,50.0,-20.997037469064114
47.0,2350.0,2093.0,50.0,-8.764982585296597
48.0,2400.0,2143.0,50.0,-18.42314915121332
49.0,2450.0,2193.0,50.0,-19.25167721471564
50.0,2500.0,2243.0,50.0,-20.520010824976758
51.0,2550.0,2293.0,50.0,-7.00834808431352
52.0,2600.0,2343.0,50.0,-21.02123356523412
53.0,2650.0,2393.0,50.0,-19.101142042817383
54.0,2700.0,2443.0,50.0,-19.356598842984116
55.0,2750.0,2493.0,50.0,-15.105219140322404
56.0,2800.0,2543.0,50.0,-21.095428960217117
57.0,2850.0,2593.0,50.0,-23.561829499976024
58.0,2900.0,2643.0,50.0,-15.602099866979197
59.0,2950.0,2693.0,50.0,-17.845104139311786
60.0,3000.0,2743.0,50.0,-18.212531664608164
61.0,3050.0,2793.0,50.0,-12.835038422206981
62.0,3100.0,2843.0,50.0,-14.939922119912975
63.0,3150.0,2893.0,50.0,-18.34912602702532
64.0,3200.0,2943.0,50.0,-10.553502170257532
65.0,3250.0,2993.0,50.0,-18.022640148068383
66.0,3300.0,3043.0,50.0,-16.83225415801009
67.0,3350.0,3093.0,50.0,-11.061479574126585
68.0,3400.0,3143.0,50.0,-10.612175768283429
69.0,3450.0,3193.0,50.0,-20.591423358177458
70.0,3500.0,3243.0,50.0,-17.360484327812127
71.0,3550.0,3293.0,50.0,-15.163484812249488
72.0,3600.0,3343.0,50.0,-20.340892009076054
73.0,3650.0,3393.0,50.0,-22.528285448815033
74.0,3700.0,3443.0,50.0,-16.86211242866127
75.0,3750.0,3493.0,50.0,-20.888073013719016
76.0,3800.0,3543.0,50.0,-14.469605073217133
77.0,3850.0,3593.0,50.0,-18.86668604029105
78.0,3900.0,3643.0,50.0,-14.591408183901821
79.0,3950.0,3693.0,50.0,-19.55822630891864
80.0,4000.0,3743.0,50.0,-25.063080445189485
81.0,4050.0,3793.0,50.0,-22.406865346653273
82.0,4100.0,3843.0,50.0,-15.055555934411977
83.0,4150.0,3893.0,50.0,-17.46666205490817
84.0,4200.0,3943.0,50.0,-24.472299804987863
85.0,4250.0,3993.0,50.0,-22.38820233824277
86.0,4300.0,4043.0,50.0,-18.964285484016393
87.0,4350.0,4093.0,50.0,-14.00681579606461
88.0,4400.0,4143.0,50.0,-25.680897002845644
89.0,4450.0,4193.0,50.0,-12.603027108137066
90.0,4500.0,4243.0,50.0,-17.71313655648131
91.0,4550.0,4293.0,50.0,-20.27998935778366
92.0,4600.0,4343.0,50.0,-20.615503758918184
93.0,4650.0,4393.0,50.0,-22.887388284910017
94.0,4700.0,4443.0,50.0,-13.25458541894094
95.0,4750.0,4493.0,50.0,-15.768093449992053
96.0,4800.0,4543.0,50.0,-13.216465490840163
97.0,4850.0,4593.0,50.0,-15.246668553168432
98.0,4900.0,4643.0,50.0,-12.968037006949038
99.0,4950.0,4693.0,50.0,-19.37205967129187
100.0,5000.0,4743.0,50.0,-15.267094232380275
101.0,5050.0,4793.0,50.0,-25.572516279468637
102.0,5100.0,4843.0,50.0,-13.72966653281978
103.0,5150.0,4893.0,50.0,-22.341258645832465
104.0,5200.0,4943.0,50.0,-22.048980697145304
105.0,5250.0,4993.0,50.0,-16.715841376028983
106.0,5300.0,5043.0,50.0,-23.960614985459614
107.0,5350.0,5093.0,50.0,-20.046978408778063
108.0,5400.0,5143.0,50.0,-20.377609686654555
109.0,5450.0,5193.0,50.0,-14.696803625447286
110.0,5500.0,5243.0,50.0,-22.98976336641889
111.0,5550.0,5293.0,50.0,-22.25571953181921
112.0,5600.0,5343.0,50.0,-11.867149133382853
113.0,5650.0,5393.0,50.0,-29.36084644721987
114.0,5700.0,5443.0,50.0,-14.647505914553701
115.0,5750.0,5493.0,50.0,-16.64512657466798
116.0,5800.0,5543.0,50.0,-11.695748228298095
117.0,5850.0,5593.0,50.0,-20.57628422888847
118.0,5900.0,5643.0,50.0,-22.165438555708015
119.0,5950.0,5693.0,50.0,-11.719519549374825
120.0,6000.0,5743.0,50.0,-17.38134805313222
121.0,6050.0,5793.0,50.0,-16.84722741081578
122.0,6100.0,5843.0,50.0,-18.236978975920646
123.0,6150.0,5893.0,50.0,-13.36529647315672
124.0,6200.0,5943.0,50.0,-18.904602585391494
125.0,6250.0,5993.0,50.0,-21.31127888368294
126.0,6300.0,6043.0,50.0,-19.33091778173379
127.0,6350.0,6093.0,50.0,-19.00693197423839
128.0,6400.0,6143.0,50.0,-18.048007767441327
129.0,6450.0,6193.0,50.0,-18.139161660933897
130.0,6500.0,6243.0,50.0,-23.46888831468358
131.0,6550.0,6293.0,50.0,-19.211844640836187
132.0,6600.0,6343.0,50.0,-18.73041581844987
133.0,6650.0,6393.0,50.0,-10.017241341799865
134.0,6700.0,6443.0,50.0,-20.200999015346813
135.0,6750.0,6493.0,50.0,-20.642494374447555
136.0,6800.0,6543.0,50.0,-15.282112411386107
137.0,6850.0,6593.0,50.0,-17.108422774846794
138.0,6900.0,6643.0,50.0,-10.089473234025975
139.0,6950.0,6693.0,50.0,-18.7287068681644
140.0,7000.0,6743.0,50.0,-12.408927575111074
141.0,7050.0,6793.0,50.0,-21.978229712206446
142.0,7100.0,6843.0,50.0,-13.782070106532531
143.0,7150.0,6893.0,50.0,-13.386084317284572
144.0,7200.0,6943.0,50.0,-18.101134270824424
145.0,7250.0,6993.0,50.0,-12.21103959038387
146.0,7300.0,7043.0,50.0,-16.39280093000767
147.0,7350.0,7093.0,50.0,-16.978715364733635
148.0,7400.0,7143.0,50.0,-16.03732390590631
149.0,7450.0,7193.0,50.0,-15.739880785746406
150.0,7500.0,7243.0,50.0,-17.852573616639138
151.0,7550.0,7293.0,50.0,-19.855870962405817
152.0,7600.0,7343.0,50.0,-16.38605623521299
153.0,7650.0,7393.0,50.0,-17.133328939257705
154.0,7700.0,7443.0,50.0,-17.038097482865354
155.0,7750.0,7493.0,50.0,-20.657418314205227
156.0,7800.0,7543.0,50.0,-17.17027616408167
157.0,7850.0,7593.0,50.0,-23.695497373983994
158.0,7900.0,7643.0,50.0,-12.243755990640341
159.0,7950.0,7693.0,50.0,-14.925864184381872
