num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-8.270069639714924
2.0,100.0,0.0,50.0,-9.142818531147004
3.0,150.0,0.0,50.0,-8.556543469075429
4.0,200.0,0.0,50.0,-5.93741519330115
5.0,250.0,0.0,50.0,-8.899844098675445
6.0,300.0,43.0,50.0,-12.14725843722097
7.0,350.0,93.0,50.0,-11.040567183808808
8.0,400.0,143.0,50.0,-8.84973443787584
9.0,450.0,193.0,50.0,-10.73063767830192
10.0,500.0,243.0,50.0,-12.527614411995891
11.0,550.0,293.0,50.0,-5.382037222244325
12.0,600.0,343.0,50.0,-9.496446002730796
13.0,650.0,393.0,50.0,-10.590764463641896
14.0,700.0,443.0,50.0,-5.892632483819413
15.0,750.0,493.0,50.0,-6.457632453877412
16.0,800.0,543.0,50.0,-9.870893986409873
17.0,850.0,593.0,50.0,-11.008796271261453
18.0,900.0,643.0,50.0,-8.650054710037463
19.0,950.0,693.0,50.0,-11.704413765015495
20.0,1000.0,743.0,50.0,-9.679648296168432
21.0,1050.0,793.0,50.0,-13.373302063264244
22.0,1100.0,843.0,50.0,-13.379806741604613
23.0,1150.0,893.0,50.0,-5.605618225165772
24.0,1200.0,943.0,50.0,-10.865929975033431
25.0,1250.0,993.0,50.0,-10.202206402086656
26.0,1300.0,1043.0,50.0,-10.973031447466102
27.0,1350.0,1093.0,50.0,-5.667399995823209
28.0,1400.0,1143.0,50.0,-10.428485532413658
29.0,1450.0,1193.0,50.0,-7.457894698529304
30.0,1500.0,1243.0,50.0,-11.256374225534431
31.0,1550.0,1293.0,50.0,-7.270319579735543
32.0,1600.0,1343.0,50.0,-10.942320504709572
33.0,1650.0,1393.0,50.0,-15.01783627571581
34.0,1700.0,1443.0,50.0,-7.924806155217785
35.0,1750.0,1493.0,50.0,-10.836927651785409
36.0,1800.0,1543.0,50.0,-8.665831292532538
37.0,1850.0,1593.0,50.0,-7.300631178696276
38.0,1900.0,1643.0,50.0,-6.17675503044031
39.0,1950.0,1693.0,50.0,-4.365631617567513
40.0,2000.0,1743.0,50.0,-4.234752283644164
41.0,2050.0,1793.0,50.0,-12.000991367299035
42.0,2100.0,1843.0,50.0,-6.697340653438231
43.0,2150.0,1893.0,50.0,-13.457144144308856
44.0,2200.0,1943.0,50.0,-7.346733047318278
45.0,2250.0,1993.0,50.0,-9.64644949063079
46.0,2300.0,2043.0,50.0,-11.574605186862026
47.0,2350.0,2093.0,50.0,-5.707596839672972
48.0,2400.0,2143.0,50.0,-11.59325611701368
49.0,2450.0,2193.0,50.0,-14.186584413122683
50.0,2500.0,2243.0,50.0,-9.637039611783802
51.0,2550.0,2293.0,50.0,-10.14814398735479
52.0,2600.0,2343.0,50.0,-13.830854397174807
53.0,2650.0,2393.0,50.0,-6.340259279107185
54.0,2700.0,2443.0,50.0,-10.710691411479436
55.0,2750.0,2493.0,50.0,-6.3729805428523765
56.0,2800.0,2543.0,50.0,-8.644356025058872
57.0,2850.0,2593.0,50.0,-11.599737082752414
58.0,2900.0,2643.0,50.0,-9.893387653585888
59.0,2950.0,2693.0,50.0,-8.734030600449614
60.0,3000.0,2743.0,50.0,-14.458585527185413
61.0,3050.0,2793.0,50.0,-9.32807671550148
62.0,3100.0,2843.0,50.0,-9.82203829874486
63.0,3150.0,2893.0,50.0,-8.27598050268304
64.0,3200.0,2943.0,50.0,-11.769266838939684
65.0,3250.0,2993.0,50.0,-4.011153126368051
66.0,3300.0,3043.0,50.0,-8.136101955399996
67.0,3350.0,3093.0,50.0,-6.710052946482926
68.0,3400.0,3143.0,50.0,-8.694053596357596
69.0,3450.0,3193.0,50.0,-11.822152172539306
70.0,3500.0,3243.0,50.0,-10.37794084782892
71.0,3550.0,3293.0,50.0,-10.443934766301863
72.0,3600.0,3343.0,50.0,-10.137523840317732
73.0,3650.0,3393.0,50.0,-11.948374196027256
74.0,3700.0,3443.0,50.0,-11.418543829785317
75.0,3750.0,3493.0,50.0,-15.340497561759184
76.0,3800.0,3543.0,50.0,-7.389416309969072
77.0,3850.0,3593.0,50.0,-8.281064938030726
78.0,3900.0,3643.0,50.0,-9.3657175539135
79.0,3950.0,3693.0,50.0,-14.270530535263253
80.0,4000.0,3743.0,50.0,-5.3853891901829005
81.0,4050.0,3793.0,50.0,-11.594552898205103
82.0,4100.0,3843.0,50.0,-11.609106024993766
83.0,4150.0,3893.0,50.0,-11.377390746105492
84.0,4200.0,3943.0,50.0,-10.15880033156125
85.0,4250.0,3993.0,50.0,-3.6691734202781325
86.0,4300.0,4043.0,50.0,-15.93634620211025
87.0,4350.0,4093.0,50.0,-6.504704211564142
88.0,4400.0,4143.0,50.0,-5.9944610743399
89.0,4450.0,4193.0,50.0,-8.778482116994567
90.0,4500.0,4243.0,50.0,-10.41684636809715
91.0,4550.0,4293.0,50.0,-11.593099494695077
92.0,4600.0,4343.0,50.0,-6.745009001068817
93.0,4650.0,4393.0,50.0,-7.977430638839868
94.0,4700.0,4443.0,50.0,-10.662569612500599
95.0,4750.0,4493.0,50.0,-11.008885925833843
96.0,4800.0,4543.0,50.0,-13.746296913303386
97.0,4850.0,4593.0,50.0,-7.021253022591812
98.0,4900.0,4643.0,50.0,-9.477840398114806
99.0,4950.0,4693.0,50.0,-11.703609891749508
100.0,5000.0,4743.0,50.0,-11.365010740432952
101.0,5050.0,4793.0,50.0,-8.252178057194648
102.0,5100.0,4843.0,50.0,-10.933401737879295
103.0,5150.0,4893.0,50.0,-13.626550377825307
104.0,5200.0,4943.0,50.0,-9.510309736725146
105.0,5250.0,4993.0,50.0,-13.348833152622461
106.0,5300.0,5043.0,50.0,-7.060173469831706
107.0,5350.0,5093.0,50.0,-8.804138696290037
108.0,5400.0,5143.0,50.0,-3.900073190810236
109.0,5450.0,5193.0,50.0,-6.616427495024069
110.0,5500.0,5243.0,50.0,-6.7995400403597985
111.0,5550.0,5293.0,50.0,-12.322841628230043
112.0,5600.0,5343.0,50.0,-10.009027243602834
113.0,5650.0,5393.0,50.0,-7.610851021287993
114.0,5700.0,5443.0,50.0,-9.189617184983145
115.0,5750.0,5493.0,50.0,-13.901891440821666
116.0,5800.0,5543.0,50.0,-6.492225650389864
117.0,5850.0,5593.0,50.0,-16.712045456166557
118.0,5900.0,5643.0,50.0,-18.624264009848527
119.0,5950.0,5693.0,50.0,-5.3210490257184455
120.0,6000.0,5743.0,50.0,-9.389152873950875
121.0,6050.0,5793.0,50.0,-8.83032528321903
122.0,6100.0,5843.0,50.0,-10.485010296290579
123.0,6150.0,5893.0,50.0,-6.7314693763894615
124.0,6200.0,5943.0,50.0,-10.683355850142439
125.0,6250.0,5993.0,50.0,-9.229338633305245
126.0,6300.0,6043.0,50.0,-9.31741418351971
127.0,6350.0,6093.0,50.0,-15.02519863305184
128.0,6400.0,6143.0,50.0,-10.256731225677292
129.0,6450.0,6193.0,50.0,-4.827905633601001
130.0,6500.0,6243.0,50.0,-6.817129079295717
131.0,6550.0,6293.0,50.0,-6.280438939124799
132.0,6600.0,6343.0,50.0,-7.0429352215952505
133.0,6650.0,6393.0,50.0,-10.971392222602496
134.0,6700.0,6443.0,50.0,-6.427586349395243
135.0,6750.0,6493.0,50.0,-13.122423930463587
136.0,6800.0,6543.0,50.0,-13.30874598964839
137.0,6850.0,6593.0,50.0,-8.644457234565508
138.0,6900.0,6643.0,50.0,-4.76297256191615
139.0,6950.0,6693.0,50.0,-7.081139540450952
140.0,7000.0,6743.0,50.0,-4.258909523607017
141.0,7050.0,6793.0,50.0,-8.20211316205449
142.0,7100.0,6843.0,50.0,-8.665801717264479
143.0,7150.0,6893.0,50.0,-10.586728879805305
144.0,7200.0,6943.0,50.0,-9.552677081139116
145.0,7250.0,6993.0,50.0,-6.460188409606346
146.0,7300.0,7043.0,50.0,-8.631153474511855
147.0,7350.0,7093.0,50.0,-7.870064715544434
148.0,7400.0,7143.0,50.0,-9.026936035825157
149.0,7450.0,7193.0,50.0,-5.751714887802352
150.0,7500.0,7243.0,50.0,-7.522496541323537
151.0,7550.0,7293.0,50.0,-11.876566806590592
152.0,7600.0,7343.0,50.0,-5.0191646667313545
153.0,7650.0,7393.0,50.0,-8.776769795601107
154.0,7700.0,7443.0,50.0,-14.557652597093726
155.0,7750.0,7493.0,50.0,-9.38354573422955
156.0,7800.0,7543.0,50.0,-11.562016174374717
157.0,7850.0,7593.0,50.0,-9.061137561443674
158.0,7900.0,7643.0,50.0,-6.010249534793912
159.0,7950.0,7693.0,50.0,-7.512538171663429
160.0,8000.0,7743.0,50.0,-8.219486399232618
161.0,8050.0,7793.0,50.0,-7.585398190586569
162.0,8100.0,7843.0,50.0,-8.899485088205513
163.0,8150.0,7893.0,50.0,-4.495807056636657
164.0,8200.0,7943.0,50.0,-5.2059762056461425
165.0,8250.0,7993.0,50.0,-11.160816242232318
166.0,8300.0,8043.0,50.0,-6.630056120754567
167.0,8350.0,8093.0,50.0,-4.653807791190377
168.0,8400.0,8143.0,50.0,-7.99036145742905
169.0,8450.0,8193.0,50.0,-14.296290320521313
170.0,8500.0,8243.0,50.0,-5.253534002329966
171.0,8550.0,8293.0,50.0,-5.90080404595489
172.0,8600.0,8343.0,50.0,-12.315915246659504
173.0,8650.0,8393.0,50.0,-5.167801449985196
174.0,8700.0,8443.0,50.0,-5.783810894944051
175.0,8750.0,8493.0,50.0,-6.142423623104386
176.0,8800.0,8543.0,50.0,-6.843919033015864
177.0,8850.0,8593.0,50.0,-5.450156522119611
178.0,8900.0,8643.0,50.0,-9.351816721792789
179.0,8950.0,8693.0,50.0,-13.240526790199551
180.0,9000.0,8743.0,50.0,-7.883487276060201
181.0,9050.0,8793.0,50.0,-13.36680026024737
182.0,9100.0,8843.0,50.0,-7.182987238455947
183.0,9150.0,8893.0,50.0,-4.03069822057298
184.0,9200.0,8943.0,50.0,-10.027713500870368
185.0,9250.0,8993.0,50.0,-4.320491573661336
186.0,9300.0,9043.0,50.0,-10.270913225414333
187.0,9350.0,9093.0,50.0,-5.420422438406191
188.0,9400.0,9143.0,50.0,-4.190973084444361
189.0,9450.0,9193.0,50.0,-11.61642742847033
190.0,9500.0,9243.0,50.0,-7.461284676378705
191.0,9550.0,9293.0,50.0,-11.289640777826977
192.0,9600.0,9343.0,50.0,-5.526773433038166
193.0,9650.0,9393.0,50.0,-8.517666710190259
194.0,9700.0,9443.0,50.0,-6.122363613593763
195.0,9750.0,9493.0,50.0,-8.05355150938387
196.0,9800.0,9543.0,50.0,-5.760430982101487
197.0,9850.0,9593.0,50.0,-6.603879704259466
198.0,9900.0,9643.0,50.0,-7.416621640931527
199.0,9950.0,9693.0,50.0,-13.849371428199902
200.0,10000.0,9743.0,50.0,-4.110999112375433
201.0,10050.0,9793.0,50.0,-5.207155160456457
202.0,10100.0,9843.0,50.0,-4.442672557212296
203.0,10150.0,9893.0,50.0,-8.8047907424631
204.0,10200.0,9943.0,50.0,-7.432091415618923
205.0,10250.0,9993.0,50.0,-7.972062000097492
206.0,10300.0,10043.0,50.0,-8.838056427989564
207.0,10350.0,10093.0,50.0,-9.599617114994818
208.0,10400.0,10143.0,50.0,-9.759949181413706
209.0,10450.0,10193.0,50.0,-10.909883171303791
210.0,10500.0,10243.0,50.0,-10.703015833154282
211.0,10550.0,10293.0,50.0,-4.271985453906304
212.0,10600.0,10343.0,50.0,-7.09595144088932
213.0,10650.0,10393.0,50.0,-10.037840174412976
214.0,10700.0,10443.0,50.0,-8.232452161071274
215.0,10750.0,10493.0,50.0,-5.70356101337132
216.0,10800.0,10543.0,50.0,-9.42883274098756
217.0,10850.0,10593.0,50.0,-9.158554616701556
